"ParticipantID","Username","Group","StartedAt","CompletedAt","Question 1","Question 2","Question 3"
"14","liam.smith7","Control","2026-04-18 05:56:59","2026-04-13 22:56:59","Sample researcher insight for participant liam.smith7 regarding How would you descri...","Sample researcher insight for participant liam.smith7 regarding On a scale of 1 to 7...","Sample researcher insight for participant liam.smith7 regarding Please share any add..."
"15","noah.adams8","Control","2026-04-18 05:56:59","2026-04-12 13:56:59","Sample researcher insight for participant noah.adams8 regarding How would you descri...","Sample researcher insight for participant noah.adams8 regarding On a scale of 1 to 7...","Sample researcher insight for participant noah.adams8 regarding Please share any add..."
"16","logan.garcia9","Control","2026-04-18 05:57:00","2026-04-16 17:57:00","Sample researcher insight for participant logan.garcia9 regarding How would you descri...","Sample researcher insight for participant logan.garcia9 regarding On a scale of 1 to 7...","Sample researcher insight for participant logan.garcia9 regarding Please share any add..."
"17","ethan.clark10","Treatment A","2026-04-18 05:57:00","2026-04-15 16:57:00","Sample researcher insight for participant ethan.clark10 regarding How would you descri...","Sample researcher insight for participant ethan.clark10 regarding On a scale of 1 to 7...","Sample researcher insight for participant ethan.clark10 regarding Please share any add..."
"18","liam.kim11","Treatment B","2026-04-18 05:57:00","2026-04-13 15:57:00","Sample researcher insight for participant liam.kim11 regarding How would you descri...","Sample researcher insight for participant liam.kim11 regarding On a scale of 1 to 7...","Sample researcher insight for participant liam.kim11 regarding Please share any add..."
"19","liam.clark12","Treatment A","2026-04-18 05:57:00","2026-04-16 07:57:00","Sample researcher insight for participant liam.clark12 regarding How would you descri...","Sample researcher insight for participant liam.clark12 regarding On a scale of 1 to 7...","Sample researcher insight for participant liam.clark12 regarding Please share any add..."
"20","lucas.singh13","Treatment C","2026-04-18 05:57:00","2026-04-11 03:57:00","Sample researcher insight for participant lucas.singh13 regarding How would you descri...","Sample researcher insight for participant lucas.singh13 regarding On a scale of 1 to 7...","Sample researcher insight for participant lucas.singh13 regarding Please share any add..."
"21","isabella.hall14","Treatment C","2026-04-18 05:57:00","2026-04-12 17:57:00","Sample researcher insight for participant isabella.hall14 regarding How would you descri...","Sample researcher insight for participant isabella.hall14 regarding On a scale of 1 to 7...","Sample researcher insight for participant isabella.hall14 regarding Please share any add..."
"22","liam.brown15","Treatment B","2026-04-18 05:57:00","2026-04-14 11:57:00","Sample researcher insight for participant liam.brown15 regarding How would you descri...","Sample researcher insight for participant liam.brown15 regarding On a scale of 1 to 7...","Sample researcher insight for participant liam.brown15 regarding Please share any add..."
"23","emma.taylor16","Treatment A","2026-04-18 05:57:00","2026-04-16 07:57:00","Sample researcher insight for participant emma.taylor16 regarding How would you descri...","Sample researcher insight for participant emma.taylor16 regarding On a scale of 1 to 7...","Sample researcher insight for participant emma.taylor16 regarding Please share any add..."
"24","michael.young17","Treatment B","2026-04-18 05:57:00","2026-04-12 17:57:00","Sample researcher insight for participant michael.young17 regarding How would you descri...","Sample researcher insight for participant michael.young17 regarding On a scale of 1 to 7...","Sample researcher insight for participant michael.young17 regarding Please share any add..."
"25","ethan.patel18","Treatment A","2026-04-18 05:57:00","2026-04-12 05:57:00","Sample researcher insight for participant ethan.patel18 regarding How would you descri...","Sample researcher insight for participant ethan.patel18 regarding On a scale of 1 to 7...","Sample researcher insight for participant ethan.patel18 regarding Please share any add..."
"26","emily.clark19","Control","2026-04-18 05:57:00","2026-04-14 09:57:00","Sample researcher insight for participant emily.clark19 regarding How would you descri...","Sample researcher insight for participant emily.clark19 regarding On a scale of 1 to 7...","Sample researcher insight for participant emily.clark19 regarding Please share any add..."
"27","michael.lewis20","Treatment B","2026-04-18 05:57:00","2026-04-12 12:57:00","Sample researcher insight for participant michael.lewis20 regarding How would you descri...","Sample researcher insight for participant michael.lewis20 regarding On a scale of 1 to 7...","Sample researcher insight for participant michael.lewis20 regarding Please share any add..."
"28","liam.taylor21","Treatment A","2026-04-18 05:57:00","2026-04-12 06:57:00","Sample researcher insight for participant liam.taylor21 regarding How would you descri...","Sample researcher insight for participant liam.taylor21 regarding On a scale of 1 to 7...","Sample researcher insight for participant liam.taylor21 regarding Please share any add..."
"29","noah.garcia22","Treatment B","2026-04-18 05:57:00","2026-04-11 11:57:00","Sample researcher insight for participant noah.garcia22 regarding How would you descri...","Sample researcher insight for participant noah.garcia22 regarding On a scale of 1 to 7...","Sample researcher insight for participant noah.garcia22 regarding Please share any add..."
"30","emily.brown23","Treatment A","2026-04-18 05:57:00","2026-04-17 12:57:00","Sample researcher insight for participant emily.brown23 regarding How would you descri...","Sample researcher insight for participant emily.brown23 regarding On a scale of 1 to 7...","Sample researcher insight for participant emily.brown23 regarding Please share any add..."
"31","olivia.kim24","Control","2026-04-18 05:57:00","2026-04-16 03:57:00","Sample researcher insight for participant olivia.kim24 regarding How would you descri...","Sample researcher insight for participant olivia.kim24 regarding On a scale of 1 to 7...","Sample researcher insight for participant olivia.kim24 regarding Please share any add..."
"32","emma.hall25","Treatment C","2026-04-18 05:57:00","2026-04-12 07:57:00","Sample researcher insight for participant emma.hall25 regarding How would you descri...","Sample researcher insight for participant emma.hall25 regarding On a scale of 1 to 7...","Sample researcher insight for participant emma.hall25 regarding Please share any add..."
"33","olivia.clark26","Treatment B","2026-04-18 05:57:00","2026-04-13 15:57:00","Sample researcher insight for participant olivia.clark26 regarding How would you descri...","Sample researcher insight for participant olivia.clark26 regarding On a scale of 1 to 7...","Sample researcher insight for participant olivia.clark26 regarding Please share any add..."
"34","daniel.chen27","Treatment B","2026-04-18 05:57:00","2026-04-12 23:57:00","Sample researcher insight for participant daniel.chen27 regarding How would you descri...","Sample researcher insight for participant daniel.chen27 regarding On a scale of 1 to 7...","Sample researcher insight for participant daniel.chen27 regarding Please share any add..."
"35","noah.clark28","Treatment B","2026-04-18 05:57:00","2026-04-17 17:57:00","Sample researcher insight for participant noah.clark28 regarding How would you descri...","Sample researcher insight for participant noah.clark28 regarding On a scale of 1 to 7...","Sample researcher insight for participant noah.clark28 regarding Please share any add..."
"36","michael.clark29","Treatment A","2026-04-18 05:57:00","2026-04-14 02:57:00","Sample researcher insight for participant michael.clark29 regarding How would you descri...","Sample researcher insight for participant michael.clark29 regarding On a scale of 1 to 7...","Sample researcher insight for participant michael.clark29 regarding Please share any add..."
"38","alice","None","2026-04-18 06:13:14","2026-04-13 10:13:14","Sample researcher insight for participant alice regarding How would you descri...","Sample researcher insight for participant alice regarding On a scale of 1 to 7...","Sample researcher insight for participant alice regarding Please share any add..."
"39","bob","None","2026-04-18 06:13:14","2026-04-12 07:13:14","Sample researcher insight for participant bob regarding How would you descri...","Sample researcher insight for participant bob regarding On a scale of 1 to 7...","Sample researcher insight for participant bob regarding Please share any add..."
"40","charlie","None","2026-04-18 06:13:14","2026-04-11 15:13:14","Sample researcher insight for participant charlie regarding How would you descri...","Sample researcher insight for participant charlie regarding On a scale of 1 to 7...","Sample researcher insight for participant charlie regarding Please share any add..."
"41","diana","None","2026-04-18 06:13:14","2026-04-11 02:13:14","Sample researcher insight for participant diana regarding How would you descri...","Sample researcher insight for participant diana regarding On a scale of 1 to 7...","Sample researcher insight for participant diana regarding Please share any add..."
"42","evan","None","2026-04-18 06:13:14","2026-04-17 10:13:14","Sample researcher insight for participant evan regarding How would you descri...","Sample researcher insight for participant evan regarding On a scale of 1 to 7...","Sample researcher insight for participant evan regarding Please share any add..."
"43","testuser","Group 2","2026-04-18 06:19:35","2026-04-18 06:19:46","Satisfactory","Level 3","good"
"44","newtestuser","Group 3","2026-04-18 06:39:08","2026-04-18 06:39:15","Excellent","Level 5","no"
